norad_id,cospar_id,sat_name,orbit_band,mass_kg,mass_class,platform_class,propulsion_class,propulsion_description,mission_type,mass_source,propulsion_source,mass_confidence,propulsion_confidence,mass_note,propulsion_note
4256,1969-082B,OPS 7613 (P/L 1),LEO_800_1000,23.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 23 kg,No propulsion info found across queried sources
4257,1969-082C,TIMATION 2,LEO_800_1000,62.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 62 kg,KeepTrack motor: ?
4259,1969-082D,OPS 7613 (P/L 3),LEO_800_1000,100.0,50_200kg,Micro,Micro/ColdGas,Ammonia cold gas microthrusters,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 100 kg,KeepTrack motor: Ammonia cold gas microthrusters
4295,1969-082G,OPS 7613 (P/L 6),LEO_800_1000,103.0,50_200kg,Micro,Micro/ColdGas,Ammonia cold gas microthrusters,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 103 kg,KeepTrack motor: Ammonia cold gas microthrusters
4331,1970-012A,OPS 0054 (DMSP 5A F1),LEO_450_800,104.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 104 kg,KeepTrack motor: ?
4332,1970-012B,THOR BURNER 2 R/B,LEO_450_800,154.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 154 kg,No propulsion info found across queried sources
4369,1970-028A,COSMOS 332,LEO_450_800,775.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 775 kg,No propulsion info found across queried sources
4370,1970-028B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
4419,1970-047A,METEOR 1-5,LEO_800_1000,1280.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1280 kg,No propulsion info found across queried sources
4420,1970-047B,SL-3 R/B,LEO_800_1000,1440.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1440 kg,No propulsion info found across queried sources
4512,1970-070A,OPS 0203 (DMSP 5A F2),LEO_450_800,104.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 104 kg,KeepTrack motor: ?
4513,1970-070B,THOR BURNER 2 R/B,LEO_450_800,154.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 154 kg,No propulsion info found across queried sources
4578,1970-083A,COSMOS 371,LEO_450_800,775.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 775 kg,No propulsion info found across queried sources
4579,1970-083B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
4588,1970-086A,COSMOS 372,LEO_450_800,800.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 800 kg,No propulsion info found across queried sources
4589,1970-086B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
4799,1970-108A,COSMOS 385,LEO_800_1000,680.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 680 kg,No propulsion info found across queried sources
4800,1970-108B,SL-8 R/B,LEO_800_1000,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
4922,1971-010A,COSMOS 394,LEO_300_450,643.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 643 kg,No propulsion info found across queried sources
4953,1971-012A,OPS 5268 (DMSP 5A F3),LEO_450_800,104.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 104 kg,KeepTrack motor: ?
4954,1971-012B,THOR BURNER 2 R/B,LEO_450_800,154.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 154 kg,No propulsion info found across queried sources
5118,1971-028B,SL-3 R/B,LEO_300_450,1440.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1440 kg,No propulsion info found across queried sources
5126,1971-011B,M-4S R/B,LEO_800_1000,310.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 310 kg,No propulsion info found across queried sources
5174,1971-035A,COSMOS 407,LEO_450_800,800.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 800 kg,No propulsion info found across queried sources
5175,1971-035B,SL-8 R/B,LEO_450_800,1434.0,>1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 1434 kg,No propulsion info found across queried sources
5395,1971-067K,OV1-20/OV1-21 AKM,LEO_450_800,15.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 15 kg,No propulsion info found across queried sources
5397,1971-067B,OV1-21,LEO_800_1000,359.0,200_1000kg,Small/Medium,,No propulsion reported,Other,KeepTrack,KeepTrack,Medium,Medium,KeepTrack launch mass: 359 kg,KeepTrack motor: FW4S
5398,1971-067E,RIGIDSPHERE 2 (LCS 4),LEO_450_800,38.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 38 kg,No propulsion info found across queried sources
5435,1971-071A,EOLE 1 (CAS-A),LEO_450_800,84.0,50_200kg,Micro,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 84 kg,No propulsion info found across queried sources
5438,1971-071B,SCOUT B-1 R/B,LEO_450_800,47.0,10_50kg,Cube/Nano,,No propulsion reported,Other,KeepTrack,,Medium,Low,KeepTrack launch mass: 47 kg,No propulsion info found across queried sources
