norad_id,sat_name,propulsion_class,behavior,net_da_km,max_da_km,max_di_deg,n_flagged,n_transitions,flag_rate,burn_freq_per_day,monotone_decay,triggers,mean_sma_km,sub_tags
64308,STARLINK-34374,Electric_EP,PhasingManeuver,0.01,5.951,0.0038,2,47,0.043,0.095,False,da,6950.1,da_max=6.0km net=+0.0km
64309,STARLINK-34370,Electric_EP,Stationkeeping,0.19,5.777,0.0007,8,52,0.154,0.381,False,da,6950.0,da_max=5.8km net=+0.2km
64310,STARLINK-34357,Electric_EP,DragMakeup,-0.12,1.331,0.0001,3,47,0.064,0.143,False,da,6950.2,da_max=1.3km net=-0.1km
64311,STARLINK-34368,Electric_EP,DragMakeup,0.07,4.209,0.0015,2,56,0.036,0.095,False,da,6950.2,da_max=4.2km net=+0.1km
64312,STARLINK-34384,Electric_EP,DragMakeup,0.02,2.903,0.0021,2,56,0.036,0.095,False,da,6950.1,da_max=2.9km net=+0.0km
64313,STARLINK-34358,Electric_EP,Stationkeeping,0.04,6.206,0.0017,10,49,0.204,0.476,False,da+de,6950.1,da_max=6.2km net=+0.0km; Δe
64314,STARLINK-34354,Electric_EP,PhasingManeuver,0.03,6.055,0.0014,2,54,0.037,0.095,False,da,6950.4,da_max=6.1km net=+0.0km
64316,STARLINK-33590,Electric_EP,PhasingManeuver,-0.06,6.212,0.001,2,50,0.04,0.095,False,da,6950.3,da_max=6.2km net=-0.1km
64344,STARLINK-33977,Electric_EP,DragMakeup,0.9,5.396,0.0012,5,50,0.1,0.238,False,da,6949.9,da_max=5.4km net=+0.9km
64345,STARLINK-34426,Electric_EP,DragMakeup,0.07,5.721,0.0055,5,52,0.096,0.238,False,da,6950.4,da_max=5.7km net=+0.1km
64347,STARLINK-34407,Electric_EP,DragMakeup,-0.01,6.202,0.0012,6,48,0.125,0.286,False,da,6949.9,da_max=6.2km net=-0.0km
64349,STARLINK-34301,Electric_EP,DragMakeup,0.05,6.673,0.0017,4,43,0.093,0.19,False,da,6950.1,da_max=6.7km net=+0.1km
64352,STARLINK-34385,Electric_EP,DragMakeup,0.03,4.741,0.0011,2,52,0.038,0.095,False,da,6950.3,da_max=4.7km net=+0.0km
64353,STARLINK-34431,Electric_EP,DragMakeup,0.12,4.485,0.0004,2,45,0.044,0.095,False,da,6950.1,da_max=4.5km net=+0.1km
64355,STARLINK-34270,Electric_EP,DragMakeup,0.04,5.845,0.0023,4,48,0.083,0.19,False,da,6950.4,da_max=5.8km net=+0.0km
64357,STARLINK-34454,Electric_EP,DragMakeup,-0.04,1.281,0.0006,2,43,0.047,0.095,False,da,6950.1,da_max=1.3km net=-0.0km
64358,STARLINK-34436,Electric_EP,DragMakeup,-0.01,2.888,0.0027,2,47,0.043,0.095,False,da,6950.1,da_max=2.9km net=-0.0km
64359,STARLINK-34291,Electric_EP,DragMakeup,-0.01,6.025,0.002,4,44,0.091,0.19,False,da,6950.0,da_max=6.0km net=-0.0km
64360,STARLINK-34458,Electric_EP,DragMakeup,-0.04,5.032,0.0016,4,42,0.095,0.19,False,da,6950.2,da_max=5.0km net=-0.0km
64362,STARLINK-34335,Electric_EP,PhasingManeuver,-0.04,6.974,0.0044,2,54,0.037,0.095,False,da+de,6950.1,da_max=7.0km net=-0.0km; Δe
64367,STARLINK-34483,Electric_EP,DragMakeup,-0.09,3.201,0.0012,2,43,0.047,0.095,False,da,6950.1,da_max=3.2km net=-0.1km
64368,STARLINK-34457,Electric_EP,DragMakeup,0.03,2.996,0.0005,4,43,0.093,0.19,False,da,6950.4,da_max=3.0km net=+0.0km
64369,STARLINK-34444,Electric_EP,DragMakeup,-0.02,2.275,0.0008,3,46,0.065,0.143,False,da,6950.2,da_max=2.3km net=-0.0km
64388,STARLINK-34198,Electric_EP,PhasingManeuver,0.06,7.566,0.0027,3,41,0.073,0.143,False,da,6861.1,da_max=7.6km net=+0.1km
64412,STARLINK-34419,Electric_EP,DragMakeup,0.04,7.108,0.0027,5,52,0.096,0.238,False,da+de,6950.0,da_max=7.1km net=+0.0km; Δe
64413,STARLINK-34275,Electric_EP,DragMakeup,-4.92,4.941,0.0007,4,49,0.082,0.19,False,da,6950.1,da_max=4.9km net=-4.9km
64420,STARLINK-34503,Electric_EP,DragMakeup,0.06,1.338,0.0009,2,45,0.044,0.095,False,da,6950.2,da_max=1.3km net=+0.1km
64429,STARLINK-34501,Electric_EP,DragMakeup,0.04,1.363,0.0008,4,44,0.091,0.19,False,da,6950.2,da_max=1.4km net=+0.0km
64430,STARLINK-34441,Electric_EP,DragMakeup,0.06,5.842,0.0014,4,54,0.074,0.19,False,da,6950.5,da_max=5.8km net=+0.1km
64433,STARLINK-34451,Electric_EP,DragMakeup,0.15,5.851,0.0023,4,42,0.095,0.19,False,da,6950.4,da_max=5.9km net=+0.1km
64436,STARLINK-34396,Electric_EP,PhasingManeuver,0.03,6.637,0.0002,2,42,0.048,0.095,False,da,6950.4,da_max=6.6km net=+0.0km
64439,STARLINK-34456,Electric_EP,OrbitLowering,-12.36,12.47,0.0015,1,39,0.026,0.048,False,da,6846.3,da_max=12.5km net=-12.4km
64441,STARLINK-34453,Electric_EP,OrbitLowering,-12.43,12.075,0.0001,1,43,0.023,0.048,False,da,6847.0,da_max=12.1km net=-12.4km
64442,STARLINK-34404,Electric_EP,DragMakeup,1.14,1.028,0.0002,1,42,0.024,0.048,False,da,6853.3,da_max=1.0km net=+1.1km
64450,STARLINK-34361,Electric_EP,OrbitLowering,-12.43,8.707,0.0015,3,50,0.06,0.143,False,da,6846.0,da_max=8.7km net=-12.4km
64453,STARLINK-34221,Electric_EP,DragMakeup,-2.57,2.547,0.0004,1,45,0.022,0.048,False,da,6841.1,da_max=2.5km net=-2.6km
64454,STARLINK-34282,Electric_EP,DragMakeup,0.36,4.303,0.0015,2,48,0.042,0.095,False,da,6848.8,da_max=4.3km net=+0.4km
64457,STARLINK-34445,Electric_EP,DragMakeup,-2.5,2.062,0.0001,1,35,0.029,0.048,False,da,6840.9,da_max=2.1km net=-2.5km
64462,STARLINK-34336,Electric_EP,DragMakeup,-4.43,2.248,0.0002,2,41,0.049,0.095,False,da,6849.2,da_max=2.2km net=-4.4km
64464,STARLINK-34429,Electric_EP,OrbitLowering,-12.43,7.073,0.0009,3,51,0.059,0.143,False,da,6842.4,da_max=7.1km net=-12.4km
64465,STARLINK-34449,Electric_EP,DragMakeup,-12.41,6.764,0.0029,11,55,0.2,0.524,True,da+de,6849.1,da_max=6.8km net=-12.4km; Δe; monotone_drop=12.4km
64475,STARLINK-34523,Electric_EP,DragMakeup,0.05,6.322,0.0015,4,44,0.091,0.19,False,da+de,6817.6,da_max=6.3km net=+0.0km; Δe
64492,STARLINK-34522,Electric_EP,DragMakeup,-0.3,1.786,0.0026,2,38,0.053,0.095,False,da,6817.9,da_max=1.8km net=-0.3km
