norad_id,cospar_id,sat_name,orbit_band,mass_kg,mass_class,platform_class,propulsion_class,propulsion_description,mission_type,mass_source,propulsion_source,mass_confidence,propulsion_confidence,mass_note,propulsion_note,source_code
45190,2020-012N,STARLINK-1234,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45197,2020-012V,STARLINK-1269,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45198,2020-012W,STARLINK-1154,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45201,2020-012Z,STARLINK-1199,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45206,2020-012AE,STARLINK-1209,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45212,2020-012AL,STARLINK-1231,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45217,2020-012AR,STARLINK-1271,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45222,2020-012AW,STARLINK-1191,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45223,2020-012AX,STARLINK-1212,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45225,2020-012AZ,STARLINK-1215,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45227,2020-012BB,STARLINK-1221,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45228,2020-012BC,STARLINK-1222,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45229,2020-012BD,STARLINK-1226,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45230,2020-012BE,STARLINK-1227,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45235,2020-012BK,STARLINK-1246,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45237,2020-012BM,STARLINK-1270,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45360,2020-019A,STARLINK-1279,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45361,2020-019B,STARLINK-1301,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45366,2020-019G,STARLINK-1262,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45367,2020-019H,STARLINK-1273,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45368,2020-019J,STARLINK-1276,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45369,2020-019K,STARLINK-1277,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45370,2020-019L,STARLINK-1281,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45374,2020-019Q,STARLINK-1300,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45375,2020-019R,STARLINK-1302,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45376,2020-019S,STARLINK-1304,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45377,2020-019T,STARLINK-1305,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45379,2020-019V,STARLINK-1319,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45383,2020-019Z,STARLINK-1266,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45384,2020-019AA,STARLINK-1267,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45386,2020-019AC,STARLINK-1272,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45387,2020-019AD,STARLINK-1274,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45388,2020-019AE,STARLINK-1280,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45389,2020-019AF,STARLINK-1283,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45390,2020-019AG,STARLINK-1284,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45395,2020-019AM,STARLINK-1297,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45397,2020-019AP,STARLINK-1307,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45399,2020-019AR,STARLINK-1255,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45404,2020-019AW,STARLINK-1260,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45405,2020-019AX,STARLINK-1263,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45406,2020-019AY,STARLINK-1265,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45408,2020-019BA,STARLINK-1278,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45412,2020-019BE,STARLINK-1296,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45414,2020-019BG,STARLINK-1309,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45415,2020-019BH,STARLINK-1316,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45417,2020-019BK,STARLINK-1286,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45419,2020-019BM,STARLINK-1308,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45531,2020-025A,STARLINK-1329,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45532,2020-025B,STARLINK-1338,LEO_300_450,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45535,2020-025E,STARLINK-1350,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45538,2020-025H,STARLINK-1362,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
45540,2020-025K,STARLINK-1368,LEO_450_800,227.0,200_1000kg,Small/Medium,Electric_EP,Krypton/Xenon Hall-effect thruster,COMM,UCS,Starlink_v1.0_table,High,High,UCS launch mass: 227.0 kg,SpaceX Starlink v1 uses Hall-effect EP,United States (US)
