norad_id,sat_name,propulsion_class,mass_kg,label_binary,label_mw,behavior,label_source,model_version,alt_km,inc_deg,ecc,inc_family_enc,bstar_mean,bstar_std,net_da_km,max_da_km,da_std,da_abs_mean,max_di_deg,max_draan_res_deg,neg_streak,total_drop_km,monotone_decay,n_transitions,n_flagged,flag_rate,burn_freq_per_day,n_windows_flagged,n_tle,mean_tle_gap_h,max_tle_gap_h,dv_net_ms
64544,SKYBEE-A02,,110.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,506.3,97.4676,0.000121,3,0.000115,3.222e-05,-0.418,0.016,0.0028,0.0034,0.0004,0.0016,0,0.418,0,125,0,0.0,0.0,0,126,5.45,23.7,0.231
64545,ION SCV-020,,150.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,503.78,97.4654,0.000191,3,0.0001336,3.923e-05,4.069,4.049,0.4156,0.0534,0.0091,0.0051,0,0.0,0,95,1,0.0105,0.0333,0,96,7.09,41.08,2.25
64546,FORGESTAR-1,,30.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,495.31,97.4635,0.000128,3,0.0002618,7.212e-05,-1.029,0.051,0.0093,0.0105,0.0005,0.0017,0,1.029,0,98,0,0.0,0.0,0,99,6.87,23.64,0.57
64547,OBJECT V,,4.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,492.65,97.4574,0.00019,3,0.0003036,7.945e-05,-1.203,0.048,0.0114,0.0132,0.0004,0.0017,0,1.203,0,91,0,0.0,0.0,0,92,7.46,23.63,0.667
64548,GHGSAT-C13,,15.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,503.91,97.472,3.8e-05,3,0.0001845,7.091e-05,-0.721,0.032,0.0056,0.006,0.002,0.0016,0,0.721,0,120,0,0.0,0.0,0,121,5.69,23.69,0.399
64549,UND ROADS 2,,5.4,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,495.97,97.4731,2.5e-05,3,0.0002423,6.454e-05,-0.948,0.047,0.0088,0.0099,0.0003,0.0018,0,0.948,0,96,0,0.0,0.0,0,97,7.0,25.22,0.525
64550,BRO-18,,15.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,501.04,97.4576,0.000241,3,0.000191,7.546e-05,-0.729,0.031,0.006,0.0061,0.0004,0.0015,0,0.729,0,124,0,0.0,0.0,0,125,5.5,23.67,0.403
64551,SATMAR,,6.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,492.98,97.4564,0.000248,3,0.000283,8.037e-05,-1.126,0.05,0.011,0.0122,0.0003,0.0021,0,1.126,0,92,0,0.0,0.0,0,93,7.35,25.2,0.624
64552,HYPERFIELD-1B,,12.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,499.96,97.4617,0.000249,3,0.0001702,4.516e-05,-0.653,0.02,0.0039,0.0053,0.0003,0.0016,0,0.653,0,125,0,0.0,0.0,0,126,5.47,23.67,0.361
64553,CONNECTA IOT-12,,10.0,0,0,,tle_annotation_v1,v1.0-tle-annotation-plan-b,503.96,97.468,0.000181,3,0.0001208,3.872e-05,-0.537,0.04,0.0078,0.0065,0.0036,0.0049,0,0.537,0,84,0,0.0,0.0,0,85,8.05,41.06,0.297
