sat_name,inc_family,maneuver_class,n_trans,alt_start_km,alt_end_km,net_da_km,abs_da_mean,abs_da_max,max_di_deg,dv_total_ms,n_large,n_medium
STARLINK-35445,53deg,mixed,12,476.46,472.02,-0.853499999999999,3.915208333333334,11.293,0.04001,26.141000000000002,1,1
STARLINK-35364,53deg,lowering,12,479.5,456.96,-14.743099999999998,3.896641666666667,7.8938,0.03845,26.06,0,5
STARLINK-32199,53deg,mixed,12,470.93,475.33,10.701999999999998,3.8928,10.2227,0.03058,26.0,1,3
STARLINK-30837,53deg,mixed,12,480.67,485.03,7.7656,3.8779,6.5247,0.03269,25.844,0,5
STARLINK-35298,53deg,mixed,12,481.5,470.02,-4.8598,3.8753333333333333,11.2929,0.02965,25.865,1,3
STARLINK-34405,mid-inc,mixed,12,561.8,571.69,0.4300999999999995,3.860341666666667,9.4605,0.01686,25.269,0,3
STARLINK-31922,53deg,mixed,12,482.2,483.95,6.1483,3.8603083333333337,7.8353,0.03295,25.718,0,3
STARLINK-32664,53deg,phasing,12,435.67,426.07,-3.7301,3.853291666666667,8.1521,0.03806,25.982,0,5
STARLINK-34848,SSO,mixed,12,537.82,555.69,15.9867,3.8505583333333337,8.2912,0.00751,25.302999999999997,0,4
STARLINK-6096,53deg,mixed,12,482.74,489.51,-1.2614,3.838366666666667,8.0337,0.03581,25.564,0,5
STARLINK-30273,53deg,mixed,11,470.91,476.64,0.4985999999999997,3.8326909090909096,10.1963,0.03025,23.47,1,3
STARLINK-34546,mid-inc,mixed,12,573.96,573.06,4.3081999999999985,3.826483333333334,10.6475,0.01313,25.002,1,3
STARLINK-6076,53deg,mixed,12,485.73,488.96,6.0505,3.8176416666666655,8.7792,0.04717,25.409,0,3
STARLINK-31413,53deg,mixed,12,480.63,485.1,8.189099999999998,3.8072083333333335,8.7667,0.0412,25.367,0,4
STARLINK-30952,53deg,phasing,12,480.74,485.16,8.526600000000002,3.7962500000000006,6.0768,0.03275,25.3,0,4
STARLINK-30906,53deg,mixed,12,480.93,487.13,5.184900000000001,3.7803750000000007,8.5262,0.04077,25.188,0,4
STARLINK-31723,53deg,mixed,12,489.17,480.38,-3.206999999999999,3.774433333333333,8.9819,0.04257,25.146,0,5
STARLINK-31750,53deg,mixed,12,489.61,482.18,-8.7498,3.767633333333334,8.865,0.04511,25.096,0,4
STARLINK-31622,53deg,mixed,12,480.57,480.57,5.967400000000001,3.7249,8.7164,0.03807,24.818,0,4
STARLINK-30813,53deg,mixed,12,481.39,489.18,1.1638999999999982,3.723925000000001,6.8449,0.0342,24.810000000000002,0,4
STARLINK-31906,53deg,mixed,12,486.86,483.27,-1.2731,3.716958333333334,8.7019,0.03439,24.768,0,3
STARLINK-31561,53deg,mixed,12,489.37,487.55,-4.817,3.694933333333333,8.2789,0.03776,24.613,0,5
STARLINK-34860,53deg,mixed,12,473.77,478.51,6.935600000000001,3.6870166666666666,9.4519,0.0284,24.621,0,3
STARLINK-6095,53deg,mixed,12,487.87,488.39,-2.7910999999999997,3.6319416666666666,7.5765,0.0348,24.195,0,5
STARLINK-32675,53deg,phasing,12,481.55,480.95,7.2075,3.623041666666667,7.8061,0.03387,24.149,0,2
STARLINK-32655,53deg,mixed,11,486.97,489.48,-6.1095000000000015,3.615172727272727,8.7459,0.04551,22.069,0,3
STARLINK-30835,53deg,mixed,12,483.05,484.56,4.5275,3.6090083333333336,6.526,0.03191,24.051,0,3
STARLINK-37156,53deg,mixed,12,477.46,473.23,-6.2277,3.600308333333333,9.1187,0.02717,24.032,0,3
STARLINK-6062,53deg,mixed,12,486.65,491.19,-0.0990000000000002,3.5579500000000004,7.7576,0.03048,23.682000000000002,0,4
STARLINK-6030,53deg,mixed,12,481.73,483.71,7.5742,3.5333333333333337,7.0842,0.03359,23.542,0,3
STARLINK-35308,53deg,raising,12,471.21,479.6,10.1985,3.518791666666667,12.2429,0.03767,23.493,1,2
STARLINK-31631,53deg,mixed,12,483.02,486.6,6.0581000000000005,3.513591666666667,8.7813,0.03483,23.411,0,4
