sat_name,norad_id,obj_id,status,inc_shell,i_deg_mean,raan_plane,raan_deg_start,alt_shell,alt_km_start,alt_km_end,net_da_km,e_start,maneuver_class,dv_total_ms,n_large,型號,發射日期,物理尺寸,重量,通訊載荷,動力系統
STARLINK-31852,59841,1261030,Operational,43deg,42.894,8,322.88,operational,480.4,486.4,7.41,0.00044,mixed,22.4,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31413,59353,1261046,Operational,43deg,42.877,8,315.85,operational,480.6,485.1,8.19,0.00047,mixed,25.4,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31501,59359,1261037,Operational,43deg,42.88,8,316.29,operational,480.6,480.7,5.89,0.00069,mixed,28.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32665,62203,1261031,Operational,43deg,42.89,8,327,operational,480.6,481.4,8.37,0.00067,mixed,18.9,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31859,59848,1261031,Operational,43deg,42.893,8,323.73,operational,480.7,488.8,8.86,0.00048,mixed,22.3,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32767,62601,1261022,Operational,43deg,42.908,8,334.05,operational,480.8,482,2.44,0.00049,mixed,18.9,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-31889,59847,1261039,Operational,43deg,42.906,8,331.03,operational,481.5,482.7,4.68,0.00053,mixed,30.6,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-32675,62208,1261034,Operational,43deg,42.89,8,326.92,operational,481.6,481,7.21,0.00055,phasing,24.1,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
STARLINK-30864,58243,1261051,Operational,43deg,42.925,8,341.53,operational,482.2,481,5.74,0.00075,mixed,22.1,0,Starlink v1.5,2021/1/24,2.8m × 1.4m × 0.2m,310 kg,改進K-band天線系統,氪氣Hall推進器
STARLINK-31922,59846,1261038,Operational,43deg,42.908,8,330.33,operational,482.2,484,6.15,0.00044,mixed,25.7,0,Starlink v2 Mini,2023/2/27,展開寬度~4m,800 kg,四倍容量Ka/Ku頻段多波束天線,氬氣Hall推進器（2.4倍推力）
