norad_id,sma_mean_km,alt_mean_km,sma_net_30d_km,sma_slope_km_day,sma_std_30d_km,sma_resid_std_km,sma_range_30d_km,inc_std_30d_deg,raan_res_30d_deg,ecc_mean,n_tle_30d,maneuver_class,alt_shell,inc_shell,i_deg_mean,alt_start_km,alt_end_km,net_da_km,abs_da_mean,abs_da_max,dv_total_ms
62806,6853.34,475.2,0.133,-0.00033,0.0595,0.0594,0.468,0.0016,0.0337,0.00014,72,mixed,operational,53deg,53.273,478.92,479.53,-3.0301,3.995975,9.4234,26.673
62807,6853.34,475.2,0.08,0.00017,0.0494,0.0494,0.352,0.00211,0.0314,0.000136,68,mixed,operational,53deg,53.273,479.89,480.38,-10.101300000000002,4.014491666666667,10.5904,26.796
62808,6851.33,473.19,-4.377,-0.16976,2.1972,1.4232,4.786,0.0017,0.028,0.000158,75,mixed,operational,53deg,53.274,474.8,473.08,-6.748699999999998,3.9381916666666665,11.8881,26.309
62809,6853.33,475.19,0.035,7e-05,0.0261,0.0261,0.165,0.00159,0.0369,0.000128,71,lowering,operational,53deg,53.275,480.9,476.11,-8.598399999999998,4.224516666666667,10.8669,28.205
64025,6950.22,572.09,-0.002,0.00269,0.6731,0.6724,6.715,0.00104,0.0507,0.000287,78,phasing,high-shell,70deg-B,69.939,568.07,566.66,3.2317,6.102641666666667,15.9774,39.906
64030,6950.25,572.12,0.09,-5e-05,0.6755,0.6755,6.23,0.00097,0.051,0.000288,84,phasing,high-shell,70deg-B,69.941,568.38,567.93,3.201199999999998,5.516183333333334,16.2839,36.07
64031,6950.52,572.39,-0.022,0.00848,1.3651,1.3616,7.961,0.00173,0.0342,0.000267,84,phasing,high-shell,70deg-B,69.929,571.57,567.7,-7.102700000000002,5.1243583333333325,10.244,33.537
64032,6950.17,572.03,0.001,0.00031,0.0201,0.0198,0.108,0.00085,0.053,0.000259,81,mixed,high-shell,70deg-B,69.936,575.55,570.87,1.9529000000000012,7.3005749999999985,15.1632,47.735
64033,6950.17,572.03,0.025,-0.0002,0.0336,0.0336,0.217,0.00086,0.0518,0.000233,82,phasing,high-shell,70deg-B,69.939,566.32,561.83,6.538400000000003,6.41355,15.1922,41.95
64034,6950.0,571.87,0.027,0.00903,0.9214,0.9164,5.89,0.00093,0.0632,0.000289,79,mixed,high-shell,70deg-B,69.935,570.28,571.02,-5.170999999999999,6.209116666666668,13.7758,40.607
