norad_id,sat_name,t_from,t_to,dt_h,a_km,alt_km,e,i_deg,raan_deg,da_km,de,di_deg,draan_raw_deg,draan_res_deg,da_severity,score,flagged,flag_reason
49321,OBJECT G,2026-05-23 20:38:49.655616+00:00,2026-05-24 22:37:45.012576+00:00,25.98,6727.593,349.46,0.026813,96.6449,7.9821,1.5,-0.026346,0.7233,-0.0678,-1.1595,small,36.165,True,da=+1.50km[small] | di=+0.7233deg | de=-0.02635 | dOmega_res=-1.160deg
65261,OBJECT C,2026-04-27 22:36:47.396736+00:00,2026-04-28 03:21:24.983136+00:00,4.74,6899.252,521.12,0.001674,97.5246,245.602,20.6799,0.007042,0.65,-0.032,-0.2353,large,32.5,True,da=+20.68km[large] | di=+0.6500deg | de=+0.00704 | dOmega_res=-0.235deg
67477,TIANQI 38,2026-02-25 10:12:41.314752+00:00,2026-03-02 11:30:15.416640+00:00,121.29,7241.275,863.14,0.001177,44.9771,218.9669,32.2151,-6.7e-05,0.0001,-22.6537,0.0145,large,32.2151,True,da=+32.22km[large]
52390,JILIN-01 GAOFEN 3D 5,2026-04-18 20:01:17.325120+00:00,2026-04-21 22:11:30.864192+00:00,74.17,6614.253,236.12,0.000952,97.4806,227.3878,-32.1938,0.000205,-0.0017,3.5518,-0.0081,large,32.1938,True,da=-32.19km[large]
66914,OBJECT B,2026-01-17 01:07:04.789344+00:00,2026-01-17 14:46:57.838080+00:00,13.66,7220.581,842.44,0.00368,80.394,87.1022,31.7213,-0.003148,0.0039,-0.612,-0.0036,large,31.7213,True,da=+31.72km[large] | de=-0.00315
51840,OBJECT S,2026-05-01 00:15:53.843904+00:00,2026-05-01 07:33:45.689760+00:00,7.3,6544.948,166.81,0.001274,97.3416,218.8841,-31.0494,-1e-05,-0.0011,0.3554,-0.0012,large,31.0494,True,da=-31.05km[large]
66913,OBJECT A,2026-01-17 01:11:53.342016+00:00,2026-01-17 14:51:48.023712+00:00,13.67,7221.533,843.4,0.003592,80.409,87.1172,30.8513,-0.002875,-0.0039,-0.5932,0.0144,large,30.8513,True,da=+30.85km[large] | de=-0.00287
66914,OBJECT B,2026-01-18 21:31:53.910336+00:00,2026-01-21 11:18:06.993792+00:00,61.77,7252.302,874.17,0.000527,80.3976,85.1336,28.6547,0.000541,-0.0009,-2.694,0.0163,large,28.6547,True,da=+28.65km[large]
51831,OBJECT H,2026-04-11 11:10:27.943680+00:00,2026-04-17 19:22:11.291232+00:00,152.2,6639.06,260.92,0.000526,97.3586,197.457,-28.0486,0.000334,-0.0031,7.0652,-0.0189,large,28.0486,True,da=-28.05km[large]
46462,JILIN-01 GAOFEN 3J,2026-05-10 21:07:09.903936+00:00,2026-05-11 05:53:31.737408+00:00,8.77,6550.03,171.89,0.001199,97.2098,191.8652,-27.9932,9e-05,-0.0014,0.4187,-0.0009,large,27.9932,True,da=-27.99km[large]
49006,OBJECT D,2026-04-22 06:36:50.390208+00:00,2026-04-22 15:23:24.393984+00:00,8.78,6551.428,173.29,0.001304,97.271,192.8582,-27.5328,-4.4e-05,-0.002,0.4227,-0.0002,large,27.5328,True,da=-27.53km[large]
65261,OBJECT C,2026-03-02 04:39:28.386720+00:00,2026-03-02 20:32:10.448736+00:00,15.88,6903.259,525.12,0.02693,98.0358,188.7018,-2.884,-0.024714,-0.5406,1.527,0.8509,small,27.03,True,da=-2.88km[small] | di=-0.5406deg | de=-0.02471 | dOmega_res=+0.851deg
67476,TIANQI 37,2026-02-25 15:43:15.328992+00:00,2026-03-02 17:04:10.933824+00:00,121.35,7247.267,869.13,0.00116,44.9807,218.1096,26.6725,9.3e-05,-0.0006,-22.6299,0.0123,large,26.6725,True,da=+26.67km[large]
65261,OBJECT C,2026-03-01 20:44:57.997824+00:00,2026-03-01 22:20:35.337984+00:00,1.59,6901.09,522.95,0.001392,97.5098,189.284,2.5384,0.012272,0.5242,-0.7876,-0.8555,small,26.21,True,da=+2.54km[small] | di=+0.5242deg | de=+0.01227 | dOmega_res=-0.855deg
67479,TIANQI 40,2026-02-25 12:34:25.824000+00:00,2026-03-02 19:10:58.986912+00:00,126.61,7249.162,871.03,0.0012,44.9815,218.8251,25.8656,-0.000105,0.0001,-23.5614,0.0449,large,25.8656,True,da=+25.87km[large]
65261,OBJECT C,2026-03-12 04:07:36.060096+00:00,2026-03-12 05:42:57.270240+00:00,1.59,6900.632,522.5,0.001287,97.508,199.3983,18.9307,0.023161,0.5149,0.6731,0.6057,large,25.745,True,da=+18.93km[large] | di=+0.5149deg | de=+0.02316 | dOmega_res=+0.606deg
65261,OBJECT C,2026-03-12 05:42:57.270240+00:00,2026-03-14 14:47:53.138400+00:00,57.08,6919.563,541.43,0.024448,98.0229,200.0714,-18.9075,-0.023162,-0.5142,1.7399,-0.6802,large,25.71,True,da=-18.91km[large] | di=-0.5142deg | de=-0.02316 | dOmega_res=-0.680deg
53447,OBJECT D,2026-04-17 22:20:32.496288+00:00,2026-04-21 23:06:38.678688+00:00,96.77,6627.556,249.42,0.000634,97.524,241.6207,-25.6394,0.000252,0.0013,4.6227,-0.0086,large,25.6394,True,da=-25.64km[large]
66913,OBJECT A,2026-01-09 16:20:00.422880+00:00,2026-01-10 21:53:54.811680+00:00,29.57,7046.557,668.42,0.002043,80.3991,95.3646,25.524,-0.000482,0.0023,-1.4329,0.0022,large,25.524,True,da=+25.52km[large]
66913,OBJECT A,2026-01-12 00:20:06.173376+00:00,2026-01-12 20:16:51.951936+00:00,19.95,7096.036,717.9,0.004848,80.4029,92.6689,25.2961,0.003478,0.0014,-0.9406,0.004,large,25.2961,True,da=+25.30km[large] | de=+0.00348
