NORAD_ID,COSPAR_ID,NAME,MEAN_ALT_KM
15370,1984-111B,SL-14 R/B,617.3
15378,1984-112A,COSMOS 1607,957.9
15427,1984-123A,NOAA 9,842.5
15482,1985-006A,COSMOS 1624,785.7
15483,1985-006B,SL-8 R/B,773.0
15495,1985-009B,SL-14 R/B,617.2
15503,1984-112C,COSMOS 1607 FUEL CORE,944.4
15516,1985-013A,METEOR 2-12,950.3
15517,1985-013B,SL-14 R/B,953.4
15593,1985-020B,SL-14 R/B,615.0
15595,1985-021A,GEOSAT,765.9
15596,1985-021B,ATLAS 41E R/B,751.3
15598,1985-022B,SL-8 R/B,982.3
15755,1985-042A,COSMOS 1656,829.2
15772,1985-042D,SL-12 R/B(2),825.8
15773,1985-042E,SL-12 R/B(AUX MOTOR),805.2
15774,1985-042F,SL-12 R/B(AUX MOTOR),814.5
15890,1985-058B,SL-14 R/B,618.2
15930,1985-064A,COSMOS 1670,957.3
15945,1985-069B,SL-14 R/B,616.2
15986,1985-075A,COSMOS 1677,947.4
16011,1985-079A,COSMOS 1680,785.1
16012,1985-079B,SL-8 R/B,773.1
16181,1985-097A,COSMOS 1697,854.1
16182,1985-097B,SL-16 R/B,844.0
16262,1985-108A,COSMOS 1703,419.5
16263,1985-108B,SL-14 R/B,619.1
16326,1985-113A,COSMOS 1707,369.8
16327,1985-113B,SL-14 R/B,618.1
16408,1985-119A,METEOR 2-13,951.3
16409,1985-119B,SL-14 R/B,953.6
16494,1986-005B,SL-8 R/B,982.5
16496,1986-006B,SL-14 R/B,615.0
16612,1986-018B,SL-14 R/B,615.4
16613,1986-019A,SPOT 1,664.2
16615,1986-019C,ARIANE 1 R/B,787.9
16681,1986-030A,COSMOS 1741,785.8
16682,1986-030B,SL-8 R/B,774.6
16719,1986-034A,COSMOS 1743,394.5
16720,1986-034B,SL-14 R/B,618.6
16735,1986-039A,METEOR 2-14,951.5
16736,1986-039B,SL-14 R/B,953.9
16791,1986-046A,COSMOS 1758,495.1
16792,1986-046B,SL-14 R/B,618.8
16809,1986-024E,COSMOS 1736 FUEL CORE,965.1
16860,1986-052A,COSMOS 1763,768.0
16864,1986-052B,SL-8 R/B,758.1
16881,1986-055A,COSMOS 1766,419.3
16882,1986-055B,SL-14 R/B,618.7
16952,1986-070A,COSMOS 1777,785.3
16953,1986-070B,SL-8 R/B,769.5
16969,1986-073A,NOAA 10,801.7
16986,1986-074A,COSMOS 1782,471.7
16987,1986-074B,SL-14 R/B,619.5
17035,1986-062C,COSMOS 1771 FUEL CORE,948.3
17191,1986-097A,COSMOS 1805,428.1
17192,1986-097B,SL-14 R/B,617.8
17241,1986-101A,COSMOS 1809,955.2
17242,1986-101B,SL-14 R/B,959.1
17290,1987-001A,METEOR 2-15,952.5
17291,1987-001B,SL-14 R/B,954.5
17296,1987-003B,SL-14 R/B,618.7
17303,1987-006A,COSMOS 1814,779.0
17304,1987-006B,SL-8 R/B,768.5
17369,1987-011A,COSMOS 1818,792.7
17527,1987-018A,MOS 1A (MOMO 1),889.9
17528,1987-018B,N-2 R/B,718.1
17567,1987-024B,SL-14 R/B,617.1
17589,1987-027A,COSMOS 1833,856.1
17590,1987-027B,SL-16 R/B,842.1
17911,1987-038A,COSMOS 1842,415.2
17912,1987-038B,SL-14 R/B,619.5
17973,1987-041A,COSMOS 1844,851.0
17974,1987-041B,SL-16 R/B,840.5
18095,1987-049A,COSMOS 1850,785.2
18096,1987-049B,SL-8 R/B,772.4
18122,1987-052A,COSMOS 1860,953.5
18123,1987-053A,DMSP 5D-2 F8 (USA 26),834.1
18130,1987-054B,SL-8 R/B,981.8
18152,1987-055A,COSMOS 1862,480.6
18153,1987-055B,SL-14 R/B,618.7
18187,1987-060A,COSMOS 1867,793.8
18214,1987-062A,COSMOS 1869,465.6
