t,d,lonP,lonS
2024-04-26 06:00:00+00:00,276.97671294772755,173.28453893889264,172.90850142739146
2024-04-26 12:00:00+00:00,204.34453429912614,173.1794593186255,172.90416469697493
2024-04-26 18:00:00+00:00,174.08538008583315,173.13214761079115,172.89611372994125
2024-04-27 00:00:00+00:00,252.01815569027008,173.24340858525625,172.90280903942266
2024-04-27 06:00:00+00:00,281.4585138049468,173.2881228159078,172.9060146980197
2024-04-27 12:00:00+00:00,208.22290387030654,173.18341647267442,172.9027781744968
2024-04-27 18:00:00+00:00,179.2190990117744,173.137632545497,172.89465099058918
2024-04-28 00:00:00+00:00,257.60670829720704,173.24923110990028,172.90096187091171
2024-04-28 06:00:00+00:00,285.6205419661837,173.292870193348,172.9051214669837
2024-04-28 12:00:00+00:00,211.96652784218617,173.18841479383366,172.90261627879238
2024-04-28 18:00:00+00:00,184.5894723144948,173.14452204989544,172.8942652054577
2024-04-29 00:00:00+00:00,263.4369705753518,173.25642601159075,172.90016336311385
2024-04-29 06:00:00+00:00,290.32741129270875,173.2987487816033,172.90463212290672
2024-04-29 12:00:00+00:00,215.91537060482318,173.19413283619622,172.9028974179355
2024-04-29 18:00:00+00:00,189.72942788010914,173.15196826713543,172.8947522920211
2024-04-30 00:00:00+00:00,268.95209057143495,173.26406070002463,172.9002401305928
2024-04-30 06:00:00+00:00,294.7597916649274,173.30435340646267,172.90423776662487
2024-04-30 12:00:00+00:00,219.71944708545828,173.19986987822028,172.9033968123419
2024-04-30 18:00:00+00:00,195.02269666101571,173.15984032600505,172.89545628160823
2024-05-01 00:00:00+00:00,274.78242979958355,173.27214581222984,172.90033733335025
2024-05-01 06:00:00+00:00,299.07196748251914,173.31034280580866,172.9043892562637
2024-05-01 12:00:00+00:00,223.52224504918877,173.2053140678923,172.90360735114564
2024-05-01 18:00:00+00:00,200.50745921116962,173.16756586997224,172.89575148641393
2024-05-02 00:00:00+00:00,280.57324750468575,173.28026649568864,172.90052611695307
2024-05-02 06:00:00+00:00,303.5649687311951,173.31592196022245,172.90388724112972
2024-05-02 12:00:00+00:00,227.45838120837888,173.21033553765835,172.90321435057717
2024-05-02 18:00:00+00:00,205.6373130791263,173.17477554575873,172.89601519140956
2024-05-03 00:00:00+00:00,286.25133344543224,173.28777852099006,172.90026691266326
2024-05-03 06:00:00+00:00,308.0758261079918,173.3207720369312,172.90263346691233
2024-05-03 12:00:00+00:00,231.41291179481698,173.2151466345979,172.90258728172142
2024-05-03 18:00:00+00:00,211.24446598363224,173.18214988867896,172.89578800143516
2024-05-04 00:00:00+00:00,292.13860833883984,173.29544006682158,172.89986508360892
2024-05-04 06:00:00+00:00,312.44575464011785,173.32586538723672,172.90181211579494
2024-05-04 12:00:00+00:00,235.32298833198044,173.21999097013685,172.90205452063105
2024-05-04 18:00:00+00:00,216.50999126851352,173.1892857945832,172.89578878474867
2024-05-05 00:00:00+00:00,297.7403859170195,173.30307122270608,172.8998281578223
2024-05-05 06:00:00+00:00,316.83339914390086,173.33124218382568,172.90124943708952
2024-05-05 12:00:00+00:00,239.28427278563632,173.22528888483453,172.90190776762688
2024-05-05 18:00:00+00:00,222.07224764176127,173.19758830927583,172.89655181433926
2024-05-06 00:00:00+00:00,303.58995124667763,173.31195283652653,172.9007073813426
2024-05-06 06:00:00+00:00,321.36379348537906,173.33767056979985,172.90154324799244
2024-05-06 12:00:00+00:00,243.44241787334485,173.23183448091856,172.90274255054112
2024-05-06 18:00:00+00:00,227.390130512731,173.20668398344446,172.89844013650662
2024-05-07 00:00:00+00:00,309.2185644935483,173.32147947320613,172.90253000810935
2024-05-07 06:00:00+00:00,325.8432538465747,173.34514294021477,172.90295225714004
2024-05-07 12:00:00+00:00,247.5108510140888,173.23968421471073,172.9049986578881
2024-05-07 18:00:00+00:00,233.05835758523605,173.21763701745272,172.9017072510601
2024-05-08 00:00:00+00:00,315.13427079154746,173.33305776372248,172.90601719248423
2024-05-08 06:00:00+00:00,330.2753220225238,173.35445014977375,172.90625943323585
2024-05-08 12:00:00+00:00,251.6094602162581,173.24935071483196,172.9090326926215
2024-05-08 18:00:00+00:00,238.6314767310538,173.22982986693944,172.9063436684279
2024-05-09 00:00:00+00:00,320.92013365564225,173.34587406686376,172.91091883010006
2024-05-09 06:00:00+00:00,334.75466635991467,173.36551396433094,172.9112580066626
2024-05-09 12:00:00+00:00,255.7571974899236,173.26071786000512,172.91470637320577
2024-05-09 18:00:00+00:00,244.26056510570973,173.2437741116721,172.91265598253898
2024-05-10 00:00:00+00:00,326.7568020667382,173.36038347405656,172.91744444721246
2024-05-10 06:00:00+00:00,339.0990365501004,173.37808987207893,172.91795322943938
2024-05-10 12:00:00+00:00,259.7996698517306,173.27351920707554,172.92195477313282
2024-05-10 18:00:00+00:00,249.94429119790223,173.25888509943252,172.9200610193438
2024-05-11 00:00:00+00:00,332.64352679781575,173.37602286089339,172.92503402839645
2024-05-11 06:00:00+00:00,343.5786304538034,173.39185082613227,172.92564895288365
2024-05-11 12:00:00+00:00,263.9819416342863,173.2873850756497,172.93008111653842
2024-05-11 18:00:00+00:00,255.6113388214771,173.27474742656636,172.92823975934573
2024-05-12 00:00:00+00:00,338.54169525442023,173.39239150841672,172.93333928818618
2024-05-12 06:00:00+00:00,348.0631945966136,173.406613662656,172.93433905187084
2024-05-12 12:00:00+00:00,268.20634635862234,173.30229899464052,172.93919879660973
2024-05-12 18:00:00+00:00,261.3177741795206,173.29108083105302,172.9368363566315
2024-05-13 00:00:00+00:00,344.4807191492136,173.40879405620967,172.94162162490397
2024-05-13 06:00:00+00:00,352.5749600096179,173.42180602143623,172.94340816293686
2024-05-13 12:00:00+00:00,272.35536784019445,173.31755174800202,172.94876190816763
2024-05-13 18:00:00+00:00,266.9870701158909,173.30754644415583,172.94561620521756
2024-05-14 00:00:00+00:00,350.19845931512293,173.4252981454244,172.95031167802165
2024-05-14 06:00:00+00:00,357.01542094033766,173.43717956895102,172.9527803885967
2024-05-14 12:00:00+00:00,276.66489146886096,173.33301335659837,172.95831654038443
2024-05-14 18:00:00+00:00,272.82140799817796,173.32409342096855,172.9542518332937
2024-05-15 00:00:00+00:00,356.1549322302759,173.44179493302124,172.95866809212902
2024-05-15 06:00:00+00:00,364.9391025821514,173.45713593761604,172.96232525326172
2024-05-15 12:00:00+00:00,256.9585895644796,173.31261759050983,172.96815131409232
2024-05-15 18:00:00+00:00,192.04848042268821,173.22396257026696,172.96299063981462
2024-05-16 00:00:00+00:00,252.27433493075935,173.30895996300188,172.96711208339394
2024-05-16 06:00:00+00:00,259.36192557217555,173.32085639713284,172.9718231429366
2024-05-16 12:00:00+00:00,114.37235050244328,173.10609555668327,172.9779382899152
2024-05-16 18:00:00+00:00,19.95597912293739,172.9483630638016,172.9719503442684
2024-05-17 00:00:00+00:00,43.32472844990461,173.0281906681248,172.97555337642808
2024-05-17 06:00:00+00:00,55.421753369605575,173.03890805802894,172.98161335276916
2024-05-17 12:00:00+00:00,137.51046301822691,172.82307289738748,172.98804780811219
2024-05-17 18:00:00+00:00,231.66051915542198,172.66627048601725,172.98076797116232
2024-05-18 00:00:00+00:00,175.48174110689902,172.74730531285388,172.98442633318973
2024-05-18 06:00:00+00:00,164.76485580822444,172.76986229810592,172.99159262943977
2024-05-18 12:00:00+00:00,277.62187814052913,172.62578036459763,172.99842849419917
2024-05-18 18:00:00+00:00,341.0667628864805,172.52678040272247,172.99022707975047
2024-05-19 00:00:00+00:00,284.7761686161093,172.6070993519911,172.99331055507207
2024-05-19 06:00:00+00:00,273.81233350555135,172.63132585710912,173.0020003664655
2024-05-19 12:00:00+00:00,318.72515160638557,172.57738355658626,173.00961613710302
2024-05-19 18:00:00+00:00,339.3696198669933,172.53927721224903,173.00031514812417
2024-05-20 00:00:00+00:00,283.7140907462828,172.61905462583462,173.00379844648836
2024-05-20 06:00:00+00:00,261.62519674861807,172.65852276549447,173.01383288247445
2024-05-20 12:00:00+00:00,317.644251252492,172.5908854403607,173.02165734804925
2024-05-20 18:00:00+00:00,337.36826616155406,172.55317141361087,173.01147608853614
2024-05-21 00:00:00+00:00,281.35877961127335,172.63339538260783,173.0149449400019
2024-05-21 06:00:00+00:00,260.41254715000065,172.67310823761352,173.0267627447899
2024-05-21 12:00:00+00:00,314.54978482252216,172.60560106036098,173.0323497178187
2024-05-21 18:00:00+00:00,324.0671505742915,172.56817982661164,173.00819064291568
2024-05-22 00:00:00+00:00,260.6415042880299,172.6487681171547,173.00195536596664
2024-05-22 06:00:00+00:00,240.98228886116726,172.68872330652448,173.01594022411132
2024-05-22 12:00:00+00:00,295.28916497202863,172.6213782867286,173.0219406698679
2024-05-22 18:00:00+00:00,303.9425825141369,172.58469106048193,172.99731174376814
2024-05-23 00:00:00+00:00,240.36304781957762,172.66581765533527,172.99137887168365
2024-05-23 06:00:00+00:00,220.6180154433918,172.70695202013098,173.00654317926228
2024-05-23 12:00:00+00:00,269.17202832282385,172.64796122362588,173.01319306868265
2024-05-23 18:00:00+00:00,272.1754656127536,172.61843380831198,172.98775485032434
2024-05-24 00:00:00+00:00,208.47894407355398,172.69999841559388,172.98205854067658
2024-05-24 06:00:00+00:00,189.51926694570503,172.74106377043626,172.99834414020518
2024-05-24 12:00:00+00:00,238.3014866223622,172.68232417901015,173.00556825667798
2024-05-24 18:00:00+00:00,240.34060506624533,172.6536988412294,172.97965693551237
2024-05-25 00:00:00+00:00,176.59778649884905,172.7355522770663,172.97407152116068
2024-05-25 06:00:00+00:00,158.425313524864,172.77646714714774,172.99142336821762
2024-05-25 12:00:00+00:00,207.39283683244668,172.71807335476694,172.99926715179834
2024-05-25 18:00:00+00:00,208.54034144511866,172.69045182447724,172.9730692299105
2024-05-26 00:00:00+00:00,144.7450918069684,172.7723715949432,172.96729109850696
2024-05-26 06:00:00+00:00,127.44223380580632,172.81260106199176,172.98534660362452
2024-05-26 12:00:00+00:00,176.58518160630226,172.7545271300183,172.9937875911072
2024-05-26 18:00:00+00:00,176.71857218571978,172.72808290465332,172.96727556919757
2024-05-27 00:00:00+00:00,112.79493707310465,172.81003090153013,172.96103324693195
2024-05-27 06:00:00+00:00,92.02212703888576,172.85480600337775,172.9797739060391
2024-05-27 12:00:00+00:00,117.25762791101178,172.82908210857602,172.98832864789824
2024-05-27 18:00:00+00:00,104.5173264763199,172.8203073515553,172.96186633070567
2024-05-28 00:00:00+00:00,81.45618667492143,172.84476128509505,172.95535579398
2024-05-28 06:00:00+00:00,94.81849187244413,172.84594615641765,172.97413216999394
2024-05-28 12:00:00+00:00,118.61288072808335,172.8218189356669,172.9829047473786
2024-05-28 18:00:00+00:00,107.1879021195831,172.8116111342233,172.95673082680378
2024-05-29 00:00:00+00:00,83.44823107907351,172.83616291154254,172.9494735007417
2024-05-29 06:00:00+00:00,97.3073529038303,172.8360951283031,172.9676780818569
2024-05-29 12:00:00+00:00,121.3896909349711,172.81244827845546,172.9773162528802
2024-05-29 18:00:00+00:00,109.22856330477202,172.80314269634198,172.95104016688367
2024-05-30 00:00:00+00:00,85.86983168624698,172.82690405462898,172.94351608677175
2024-05-30 06:00:00+00:00,99.99179006843652,172.8259894173471,172.96122436612586
2024-05-30 12:00:00+00:00,123.99011994291966,172.80276967696426,172.97117874287142
2024-05-30 18:00:00+00:00,111.2219031581891,172.79487427940086,172.9454776761857
2024-05-31 00:00:00+00:00,87.91853543907158,172.81790944822876,172.93731426333636
2024-05-31 06:00:00+00:00,102.48712952286266,172.81637428411705,172.95507102684456
2024-05-31 12:00:00+00:00,124.37468861936172,172.7961345419651,172.965089147326
2024-05-31 18:00:00+00:00,110.19646156815854,172.7905453912134,172.93972281156624
2024-06-01 00:00:00+00:00,87.27992241057808,172.81270232201706,172.93124361797072
2024-06-01 06:00:00+00:00,101.98788926381827,172.81035826644745,172.9483570802929
2024-06-01 12:00:00+00:00,124.01994440664501,172.79061775651144,172.95909641957292
2024-06-01 18:00:00+00:00,109.64198054914725,172.7859985572137,172.93441379096532
2024-06-02 00:00:00+00:00,86.65679276026025,172.80800398459098,172.92570396176012
2024-06-02 06:00:00+00:00,101.6700933277519,172.80514836305701,172.94269700005725
2024-06-02 12:00:00+00:00,123.64772545364698,172.78615267910516,172.95412978347315
2024-06-02 18:00:00+00:00,108.80601551977045,172.78304769897397,172.93030828601258
2024-06-03 00:00:00+00:00,85.6623923288742,172.80505096053116,172.9214034555257
2024-06-03 06:00:00+00:00,101.10193128283198,172.8017954143263,172.9385677810053
2024-06-03 12:00:00+00:00,122.83182808109103,172.78338796360686,172.95026097247143
